Name,Location,Type,Priority,Latitude,Longitude,Another
Rosie's Dog Beach,Long Beach,Beach,2,33.7553307,-118.1414044,0
White Point Beach,San Pedro,Beach,2,33.715764,-118.319191,0
Mother's Beach,Long Beach,Beach,2,33.757885,-118.119367,0
Bolsa Chica State Beach,Huntington Beach,Beach,2,33.696373,-118.0485568,0
Bayshore Beach,Long Beach,Beach,2,33.7529619,-118.1341978,0
Royal Palms State Beach,San Pedro,Beach,2,33.7173234,-118.3201817,0
Sunset Beach,Sunset Beach,Beach,2,33.8700635,-78.5058437,0
Long Beach City Beach,Long Beach,Beach,2,33.7692853,-118.1863388,0
Huntington City Beach,Huntington Beach,Beach,2,33.6564104,-118.0037159,0
Alamitos Bay Beach,Long Beach,Beach,2,33.7639146,-118.1755114,0
Cabrillo Beach Park,San Pedro,Beach,2,33.7112213,-118.2831645,0
Newport Dunes,Newport Beach,Beach,2,33.615189,-117.89222,0
Rocky Point,Newport Beach,Beach,2,39.251869,-76.404434,0
19th St Bay Beach,Newport Beach,Beach,2,33.608768,-117.9262012,0
West Jetty View Park,Newport Beach,Beach,2,33.595684,-117.881912,0
Balboa Beach,Newport Beach,Beach,2,33.6098402,-117.9285632,0
Diver's Cove,Laguna Beach,Beach,2,33.5452538,-117.7958628,0
10th St Beach,Newport Beach,Beach,2,33.6049704,-117.9135906,0
Bayside Drive County Beach,Newport Beach,Beach,2,33.5991697,-117.8762739,0
Rockpile Beach,Laguna Beach,Beach,2,33.5442063,-117.7906527,0
Capistrano Beach,Dana Point,Beach,2,33.4528423,-117.6610855,0
Picnic Beach,Laguna Beach,Beach,2,33.5448874,-117.7933292,0
China Cove Beach,Newport Beach,Beach,2,33.5984654,-117.879655,0
Doheny State Beach,Dana Point,Beach,2,33.4640989,-117.6872607,0
Shaw's Cove,Laguna Beach,Beach,2,33.5456958,-117.7983928,0
Crystal Cove State Park,Laguna Beach,Beach,2,33.5796862,-117.8027487,0
Aliso Creek County Beach,Laguna Beach,Beach,2,33.5088831,-117.7508748,0
Brooks Beach,Laguna Beach,Beach,2,33.533087,-117.777197,0
Newport Municipal Beach,Newport Beach,Beach,2,33.613976,-117.9314518,0
North Star Beach,Newport Beach,Beach,2,33.6247954,-117.8933269,0
Bay Back Beach,Newport Beach,Beach,2,33.6489934,-117.8831291,0
Poche Beach,San Clemente,Beach,2,33.4031574,-117.6054137,0
Victoria Beach,Laguna Beach,Beach,2,33.5183695,-117.7619576,0
Corona del Mar State Beach,Corona del Mar,Beach,2,33.5933058,-117.8753466,0
Little Corona del Mar Beach,Corona del Mar,Beach,2,33.5900884,-117.8691038,0
1000 Steps Beach,Laguna Beach,Beach,2,33.4977182,-117.7412617,0
Crescent Bay Point Park,Laguna Beach,Beach,2,33.5469387,-117.8038269,0
East Beach on Bay Island,Newport Beach,Beach,2,33.6035183,-117.9001853,0
Salt Creek County Beach,Dana Point,Beach,2,33.5088831,-117.7508748,0
Main Beach,Laguna Beach,Beach,2,33.5443204,-117.7881188,0
Komo Beach,San Clemente,Beach,2,37.3315086,-121.9073337,0
West Street Beach,Laguna Beach,Beach,2,33.5045103,-117.7477869,0
San Clemente State Beach,San Clemente,Beach,2,33.4031574,-117.6054137,0
San Clemente City Beach,San Clemente,Beach,2,33.4272222,-117.6283333,0
